POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Shane van Gisbergen	88	Chevrolet	90	2	38	43	3	0	
2	Christopher Bell	20	Toyota	90	9	0	43	8	0	
3	Chris Buescher	17	Ford	90	12	5	44	10	0	
4	William Byron	24	Chevrolet	90	10	0	42	9	0	
5	Chase Briscoe	19	Toyota	90	3	6	34	2	0	
6	Ryan Blaney	12	Ford	90	1	35	45	14	0	
7	Daniel Suarez	99	Chevrolet	90	19	0	30	0	0	
8	Bubba Wallace	23	Toyota	90	15	0	29	0	0	
9	Tyler Reddick	45	Toyota	90	21	0	28	0	0	
10	Ross Chastain	1	Chevrolet	90	4	0	27	0	0	
11	AJ Allmendinger	16	Chevrolet	90	18	0	33	7	0	
12	Erik Jones	43	Toyota	90	30	0	25	0	0	
13	Ryan Preece	60	Ford	90	17	1	33	9	0	
14	Joey Logano	22	Ford	90	11	0	23	0	0	
15	Austin Dillon	3	Chevrolet	90	26	0	22	0	0	
16	Austin Cindric	2	Ford	90	13	0	21	0	0	
17	Zane Smith	38	Ford	90	34	0	20	0	0	
18	Carson Hocevar	77	Chevrolet	90	8	0	19	0	0	
19	Michael McDowell	71	Chevrolet	90	6	0	18	0	0	
20	Alex Bowman	48	Chevrolet	90	7	0	30	13	0	
21	Noah Gragson	4	Ford	90	36	0	16	0	0	
22	Kyle Busch	8	Chevrolet	90	5	0	15	0	0	
23	Ricky Stenhouse Jr.	47	Chevrolet	90	35	0	22	8	0	
24	Riley Herbst	35	Toyota	90	29	0	18	5	0	
25	Denny Hamlin	11	Toyota	90	22	0	12	0	0	
26	Chase Elliott	9	Chevrolet	90	20	0	18	7	0	
27	Justin Haley	7	Chevrolet	90	23	0	10	0	0	
28	Todd Gilliland	34	Ford	90	27	0	9	0	0	
29	Cody Ware	51	Ford	90	37	0	9	1	0	
30	Ty Dillon	10	Chevrolet	90	33	0	7	0	0	
31	Brad Keselowski	6	Ford	90	16	5	12	6	0	
32	John Hunter Nemechek	42	Toyota	90	31	0	11	6	0	
33	Ty Gibbs	54	Toyota	90	14	0	6	2	0	
34	Cole Custer	41	Ford	90	32	0	3	0	0	
35	Josh Berry	21	Ford	90	24	0	2	0	0	
36	Katherine Legge	78	Chevrolet	89	38	0	1	0	0	
37	Josh Bilicki	66	Ford	89	40	0	0	0	0	
38	J.J. Yeley	44	Chevrolet	89	39	0	1	0	0	
39	Kyle Larson	5	Chevrolet	75	28	0	2	1	0	
