POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY
1	Kyle Larson	5	Chevrolet	500	2	462	60	20	0
2	Chase Elliott	9	Chevrolet	500	10	0	38	3	0
3	Bubba Wallace	23	Toyota	500	11	1	40	6	0
4	Denny Hamlin	11	Toyota	500	8	0	46	13	0
5	Christopher Bell	20	Toyota	500	6	0	46	14	0
6	Ryan Blaney	12	Ford	500	22	0	33	2	0
7	Ryan Preece	41	Ford	500	14	0	30	0	0
8	Chase Briscoe	14	Ford	500	5	0	36	7	0
9	Alex Bowman	48	Chevrolet	500	1	34	41	13	0
10	Ross Chastain	1	Chevrolet	500	12	0	27	0	0
11	Michael McDowell	34	Ford	499	18	0	26	0	0
12	Noah Gragson	10	Ford	499	16	0	25	0	0
13	Austin Cindric	2	Ford	499	27	0	24	0	0
14	Chris Buescher	17	Ford	499	17	0	23	0	0
15	Ty Gibbs	54	Toyota	499	13	0	25	3	0
16	Zane Smith	71	Chevrolet	499	33	0	21	0	0
17	William Byron	24	Chevrolet	499	3	0	26	6	0
18	Carson Hocevar	77	Chevrolet	499	7	0	19	0	0
19	Daniel Hemric	10	Chevrolet	499	21	0	18	0	0
20	Tyler Reddick	45	Toyota	499	15	3	24	7	0
21	Austin Dillon	3	Chevrolet	499	30	0	16	0	0
22	Justin Haley	51	Ford	499	26	0	15	0	0
23	AJ Allmendinger	16	Chevrolet	499	19	0	0	0	0
24	Martin Truex Jr.	19	Toyota	499	4	0	29	16	0
25	Kyle Busch	8	Chevrolet	498	29	0	12	0	0
26	Brad Keselowski	6	Ford	497	23	0	11	0	0
27	Ricky Stenhouse Jr.	47	Chevrolet	497	31	0	10	0	0
28	Joey Logano	22	Ford	496	20	0	9	0	0
29	Josh Berry	4	Ford	496	25	0	8	0	0
30	Erik Jones	43	Toyota	496	32	0	7	0	0
31	Daniel Suarez	99	Chevrolet	496	35	0	6	0	0
32	Todd Gilliland	38	Ford	496	24	0	5	0	0
33	John Hunter Nemechek	42	Toyota	491	28	0	4	0	0
34	Josh Bilicki	66	Ford	467	37	0	0	0	0
35	Harrison Burton	21	Ford	422	34	0	2	0	0
36	Corey LaJoie	7	Chevrolet	330	9	0	1	0	0
37	Kaz Grala	15	Ford	296	36	0	1	0	0
