POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Denny Hamlin	11	Toyota	151	1	58	0	0	0	
2	Kyle Busch	8	Chevrolet	151	5	0	0	0	0	
3	Ryan Blaney	12	Ford	151	23	0	0	0	0	
4	Joey Logano	22	Ford	151	2	8	0	0	0	
5	Kyle Larson	5	Chevrolet	151	8	0	0	0	0	
6	Alex Bowman	48	Chevrolet	151	4	0	0	0	0	
7	Chase Briscoe	14	Ford	151	22	0	0	0	0	
8	Brad Keselowski	6	Ford	151	13	1	0	0	0	
9	Martin Truex Jr.	19	Toyota	151	19	0	0	0	0	
10	William Byron	24	Chevrolet	151	6	0	0	0	0	
11	Ryan Preece	41	Ford	151	12	0	0	0	0	
12	Bubba Wallace	23	Toyota	150	9	0	0	0	0	
13	John Hunter Nemechek	42	Toyota	150	21	0	0	0	0	
14	Tyler Reddick	45	Toyota	150	11	0	0	0	0	
15	Ross Chastain	1	Chevrolet	150	7	0	0	0	0	
16	Ricky Stenhouse Jr.	47	Chevrolet	150	20	0	0	0	0	
17	Corey LaJoie	7	Chevrolet	150	18	0	0	0	0	
18	Ty Gibbs	54	Toyota	150	3	84	0	0	0	
19	Michael McDowell	34	Ford	149	15	0	0	0	0	
20	Noah Gragson	10	Ford	147	17	0	0	0	0	
21	Justin Haley	51	Ford	135	10	0	0	0	0	
22	Chase Elliott	9	Chevrolet	77	14	0	0	0	0	
23	Todd Gilliland	38	Ford	68	16	0	0	0	0	
